,Candidate,Constitutency,Party,Votes
0,JADEJA_PRADHYUMANSINH_MAHIPATSINH,Abdasa,Indian_National_Congress,73312
1,CHHABILBHAI_NARANBHAI_PATEL,Abdasa,Bharatiya_Janata_Party,63566
2,RAJESH_SHAMJI_MAHESHWARI,Abdasa,Bahujan_Mukti_Party,4122
3,SONI_KAUSHIKBHAI_BABULAL,Abdasa,Independent,1851
4,VAGHELA_LAXMANBHAI_KANJI,Abdasa,Bahujan_Samaj_Party,1400
5,RAM_MANGAL_GADHAVI,Abdasa,Independent,733
6,DHARAMSHI_SHARAD_SHIVJI,Abdasa,Independent,655
7,UMAR_OSMAN_SANGAR,Abdasa,Independent,453
8,KOLI_SHANKARBHAI_ALIBHAI,Abdasa,Vyavastha_Parivartan_Party,331
9,KHETANI_VASANTBHAI_VALJIBHAI,Abdasa,Real_Democracy_Party,310
10,AMRUT_LADHABHAI_PATEL,Abdasa,Independent,277
11,JADEJA_VIRENDRASINH_BAHADURSINH,Mandvi,Bharatiya_Janata_Party,79469
12,GOHIL_SHAKTISINHJI_HARICHANDRASINHJI,Mandvi,Indian_National_Congress,70423
13,RANGANI_MAHESHBHAI_KARSHANBHAI,Mandvi,Independent,1282
14,KENEEYA_BHANJIBHAI_KHIMJIBHAI,Mandvi,Bahujan_Samaj_Party,1154
15,RANGANI_VARSHABEN_MAHESHBHAI,Mandvi,Independent,1110
16,SAMEJA_ABDULKARIM_AMAD,Mandvi,Bahujan_Mukti_Party,1105
17,SHAH_VIJAYKUMAR_CHIMANLAL,Mandvi,Independent,1099
18,SAIYAD_IMAMSHA_LATIFSHA,Mandvi,Independent,559
19,JOSHI_SHAILESHBHAI_BHAVANISANKAR,Mandvi,Samajwadi_Party,541
20,RAMBHAI_DHANRAJBHAI_GADHAVI,Mandvi,Independent,434
21,VORA_JAYESHBHAI_PRAVEENCHANDRA,Mandvi,Shivsena,221
22,BODA_VASANTBHAI_MORARJIBHAI,Mandvi,Independent,211
23,DHRUIYA_GULAMHUSEN_SALEMAMAD,Mandvi,Independent,179
24,JAT_AMIN_KASAM,Mandvi,Independent,178
25,ANVARSHA_BHACHHAMIYA_SAIYAD,Mandvi,Independent,176
26,JOSHI_PRATEEK_YOGESHBHAI,Mandvi,Independent,120
27,KANERIYA_BHAVIN_GIRDHARBHAI,Mandvi,Independent,114
28,ACHARYA_DR.NIMABEN_BHAVESHBHAI,Bhuj,Bharatiya_Janata_Party,86532
29,CHAKI_ADAMBHAI_BUDHABHAI,Bhuj,Indian_National_Congress,72510
30,SINDHAL_PRAKASH_HARILAL,Bhuj,Independent,1977
31,NODE_KASAM_MAHAMAD,Bhuj,Bahujan_Samaj_Party,1148
32,MALSHI_RANA,Bhuj,Independent,840
33,SODHA_MADHUBHA_RANAJI,Bhuj,Shivsena,716
34,SHAH_PARESH_VRAJLAL,Bhuj,Independent,607
35,KOKA_RAJESH_KANTILAL,Bhuj,Independent,378
36,GOHIL_JIGNABA_KARUBHA,Bhuj,Rashtriya_Krantikari_Samajwadi_Party,337
37,MAKWANA_SIKANDAR_ISMAIL,Bhuj,Independent,274
38,TEJAS__ALIAS_SACHIN_RAJGOR,Bhuj,Independent,267
39,BABU_SAMA,Bhuj,Independent,226
40,KHATRI_MUNAF_ABUBAKAR,Bhuj,Independent,196
41,AHIR_VASANBHAI_GOPALBHAI,Anjar,Bharatiya_Janata_Party,75331
42,V._K._HUMBAL,Anjar,Indian_National_Congress,64018
43,VEERA_HARIBHAI_SAMANTBHAI,Anjar,Independent,4677
44,HADIYA_PRAKASHBHAI_HIRJIBHAI_(AHIR),Anjar,Independent,2410
45,MANGALBHAI_KARAMSHIBHAI_RABARI,Anjar,Bahujan_Mukti_Party,1534
46,KOCHARA_JAGDISHBHAI_KANJIBHAI,Anjar,Bahujan_Samaj_Party,1466
47,SHEIKH_MUSTAFA_NURSHA,Anjar,Janata_Dal__(United),999
48,HUSSEN_ALIMAMAD_KHARA,Anjar,Independent,944
49,MALSATTAR_DHANJI_SHIVJI,Anjar,Independent,349
50,JADEJA_JAYENDRASINH_BALWANTSINH,Anjar,Independent,317
51,DATANIYA_MULJI_REVA,Anjar,Independent,286
52,CHAUHAN_VIRAL_PREMJI,Anjar,Independent,238
53,MAHESHWARI_MALTI_KISHOR,Gandhidham,Bharatiya_Janata_Party,79713
54,KISHOR_GANGJIBHAI_PINGOL,Gandhidham,Indian_National_Congress,59443
55,BHANJIBHAI_MYAJARBHAI_DUNGARIYA,Gandhidham,Bahujan_Mukti_Party,1965
56,BHARYA_JUMABHAI_SAVALI,Gandhidham,Bahujan_Samaj_Party,1233
57,DANICHA_GOVINDBHAI_PUNAMCHAND,Gandhidham,Aam_Aadmi_Party,1101
58,SONDARVA_BALUBEN_MAHESHBHAI,Gandhidham,Independent,1087
59,VAGHELA_SOMABHAI_RUPABHAI,Gandhidham,Independent,1037
60,RAJESH_LADHABHAI_CHAVDA,Gandhidham,Independent,561
61,RAMESH_MAVABHAI_SOLANKI,Gandhidham,Independent,436
62,ADVOCATE_GOVIND_DAFDA,Gandhidham,Independent,371
63,BHARAT_UMAR_MARU,Gandhidham,Independent,331
64,VANKAR_RAMESHBHAI_MAGABHAI,Gandhidham,All_India_Hindustan_Congress_Party,219
65,BALIYA_LALJIBHAI_KARABHAI,Gandhidham,Aapni_Sarkar_Party,196
66,VANJARA_HIRABEN_DALPATBHAI,Gandhidham,Rashtriya_Krantikari_Samajwadi_Party,177
67,AARETHIYA_SANTOKBEN_BHACHUBHAI,Rapar,Indian_National_Congress,63814
68,PANKAJBHAI_ANOPCHAND_MAHETA,Rapar,Bharatiya_Janata_Party,48605
69,GADA_BABULAL_MEGHJI,Rapar,Nationalist_Congress_Party,2756
70,MAHADEVBHAI_KHUMANNBHAI_BAGADA,Rapar,Bahujan_Mukti_Party,2590
71,PARMAR_VALJIBHAI_DEVJIBHAI,Rapar,Independent,1720
72,CHAVADA_SUDHA__BAKUL,Rapar,Bahujan_Samaj_Party,1208
73,KOLI_MEGHABHAI_JIVABHAI,Rapar,Vyavastha_Parivartan_Party,1020
74,JADEJA__NARENDRASINH_TAPUBHA,Rapar,Independent,971
75,DABHI__MOHANBHAI__TULSHIBHAI,Rapar,Independent,959
76,GAMI_RUDIBEN_BABUBHAI,Rapar,Independent,700
77,KOLI_RAMESH_RAVABHAI,Rapar,Independent,444
78,INDRASINH__GOVUBHA__JADEJA,Rapar,Independent,393
79,MAKAVANA_RAMESHBHAI_KUMBHABHAI,Rapar,All_India_Hindustan_Congress_Party,318
80,THAKOR_GENIBEN_NAGAJI,Vav,Indian_National_Congress,102328
81,CHAUDHARY_SHANKARBHAI_LAGDHIRBHAI,Vav,Bharatiya_Janata_Party,95673
82,BRAHMKSHATRIYA_BHAGVATIBEN_KHETSINHBHAI,Vav,Independent,2643
83,PARMAR_VAJRAMBHAI_NAVABHAI,Vav,Bahujan_Samaj_Party,2373
84,THAKOR_BHAVSINGJI_RAMCHANDJI,Vav,Independent,791
85,GOHIL_RANAJI_NAGJI,Vav,Shivsena,691
86,KALAL_NAGJIBHAI_SHANKARBHAI,Vav,Independent,560
87,PATEL_PARBATBHAI_SAVABHAI,Tharad,Bharatiya_Janata_Party,69789
88,RAJPUT_DAMRAJI_DEVJIBHAI,Tharad,Indian_National_Congress,58056
89,PATEL_MAVJIBHAI_CHATRABHAI,Tharad,Independent,42982
90,PATEL_MAGHABHAI__ARJANBHAI,Tharad,Independent,2191
91,PARJAPATI__GANESHBHAI_DAMRABHAI,Tharad,Yuva_Sarkar,1820
92,GALSAR_NILABHAI_HEMABHAI,Tharad,Bahujan_Samaj_Party,1757
93,PATEL_PADMABHAI_DHANABHAI,Tharad,Independent,802
94,PATEL_NATHABHAI_HEGOLABHAI,Dhanera,Indian_National_Congress,82909
95,DESAI_MAVJIBHAI_MAGANBHAI,Dhanera,Bharatiya_Janata_Party,80816
96,RABARI_TEJABHAI_NETHIBHAI,Dhanera,All_India_Hindustan_Congress_Party,2802
97,DABHI_RUPABHAI_CHENABHAI,Dhanera,Bahujan_Samaj_Party,2790
98,RAJPUT_NARSINHJI_BABUJI,Dhanera,Independent,1836
99,KANTIBHAI_KALABHAI_KHARADI,Danta,Indian_National_Congress,86129
100,KODARVI_MALJIBHAI_NARAYANBHAI,Danta,Bharatiya_Janata_Party,61477
101,BHIL_KALURAM_MANGALJI,Danta,Independent,2569
102,DHRANGI_MANHARBHAI_BHOYLABHAI,Danta,Nationalist_Congress_Party,2285
103,KANABHAI_CHUNABHAI_MANCHHATAR,Danta,Gujarat_Jan_Chetna_Party,1197
104,PARMAR_BHURABHAI_MANABHAI,Danta,Independent,1109
105,NISARTA_RASILABEN_KHATARABHAI,Danta,Independent,896
106,DUNGAISA_VIRMABHAI_KESHRABHAI,Danta,Independent,396
107,SOLANKI_SOMABHAI_BHARMABHAI,Danta,Janata_Dal__(United),361
108,JIGNESHKUMAR_NATVARLAL_MEVANI,Vadgam,Independent,95497
109,CHAKRAVARTI_VIJAYKUMAR_HARKHABHAI,Vadgam,Bharatiya_Janata_Party,75801
110,MAKWANA_NARENDRAKUMAR_PUJABHAI,Vadgam,Independent,3711
111,ASHVINBHAI_DOLATBHAI_PARMAR,Vadgam,Independent,3175
112,JADAV_PUSHPABEN_RAJESHBHAI,Vadgam,Bahujan_Samaj_Party,1263
113,CHAUHAN_GANESHBHAI_LAVJIBHAI,Vadgam,Independent,1121
114,VANSOLA_NILESHKUMAR_PRAVINBHAI,Vadgam,Bahujan_Mukti_Party,1119
115,SHEKHALIYA_VIKRAMBHAI_DAHYABHAI,Vadgam,Independent,1038
116,SOLANKI_TARUNCHANDRA_PREMJIBHAI,Vadgam,Gujarat_Jan_Chetna_Party,548
117,BHATIYA_ARVINDKUMAR_KHEMABHAI,Vadgam,Navin_Bharat_Nirman_Manch,478
118,PATEL_MAHESHKUMAR_AMRUTLAL,Palanpur,Indian_National_Congress,91512
119,PRAJAPATI_LALJIBHAI_KANJIBHAI,Palanpur,Bharatiya_Janata_Party,73919
120,FOSHI_SHIVRAMBHAI_MAGANBHAI,Palanpur,Nationalist_Congress_Party,1057
121,VADNATHANI_JAYANTIBHAI_UMEDBHAI,Palanpur,Independent,1056
122,PARMAR_AMARATBHAI_DHARMABHAI,Palanpur,Bahujan_Samaj_Party,974
123,SHRIMALI_ASHOKBHAI_BALCHANDBHAI,Palanpur,Independent,846
124,PARMAR_SURESHBHAI_RAMJIBHAI,Palanpur,Independent,571
125,PATANI_SHANTABEN_NARANBHAI,Palanpur,Independent,505
126,NABHANI_RAMESHKUMAR_KHEMRAJBHAI,Palanpur,Aam_Aadmi_Party,484
127,PATANI_MAHESHKUMAR_NARANBHAI,Palanpur,Independent,358
