,Constitutency,Margin,Runner,Runner_Party,Serial_no,Winner,Winner_Party,prev_winner,prev_winner_margin,prev_winner_party
0,Abdasa,9746,CHHABILBHAI_NARANBHAI_PATEL,Bharatiya_Janata_Party,1,JADEJA_PRADHYUMANSINH_MAHIPATSINH,Indian_National_Congress,CHHABILBHAI_NARANBHAI_PATEL,7613,Indian_National_Congress
1,Akota,57139,RANJIT_SHARADCHANDRA_CHAVAN,Indian_National_Congress,143,SEEMABEN_AKSHAYKUMAR_MOHILE,Bharatiya_Janata_Party,SAURABH_PATEL,49867,Bharatiya_Janata_Party
2,Amraiwadi,49732,CHAUHAN_ARVINDSINH_VISHVANATHSINH_(_ARVIND_CHAUHAN_),Indian_National_Congress,50,PATEL_HASMUKHBHAI_SOMABHAI_(_H._S._PATEL_),Bharatiya_Janata_Party,PATEL_HASMUKHBHAI_SOMABHAI,65425,Bharatiya_Janata_Party
3,Amreli,12029,BAVKUBHAI_UNDHAD,Bharatiya_Janata_Party,95,PARESH_DHANANI,Indian_National_Congress,PARESH_DHANANI,29893,Indian_National_Congress
4,Anand,5286,YOGESH_PATEL_(BAPAJI),Bharatiya_Janata_Party,112,KANTIBHAI_SODHAPARMAR_(BHAGAT),Indian_National_Congress,DILIPBHAI_MANIBHAI_PATEL,987,Bharatiya_Janata_Party
5,Anjar,11313,V._K._HUMBAL,Indian_National_Congress,4,AHIR_VASANBHAI_GOPALBHAI,Bharatiya_Janata_Party,AHIR_VASANBHAI_GOPALBHAI,4728,Bharatiya_Janata_Party
6,Anklav,33629,HANSAKUVARBA_JANAKSINH_RAJ,Bharatiya_Janata_Party,110,AMIT_CHAVDA,Indian_National_Congress,AMIT_CHAVDA,30319,Indian_National_Congress
7,Ankleshwar,46912,ANILKUMAR_CHHITUBHAI_BHAGAT,Indian_National_Congress,154,ISHWARSINH_THAKORBHAI_PATEL,Bharatiya_Janata_Party,ISHWARSINH_THAKORBHAI_PATEL,31443,Bharatiya_Janata_Party
8,Asarwa,49264,VAGHELA_KANUBHAI_ATMARAM,Indian_National_Congress,56,PARMAR_PRADIPBHAI_KHANABHAI,Bharatiya_Janata_Party,RAJANIKANT_MOHANLAL_PATEL_(R.M.PATEL),35045,Bharatiya_Janata_Party
9,Balasinor,10602,CHAUHAN_MANSINH_KOHYABHAI,Bharatiya_Janata_Party,121,AJITSINH_PARVATSINH_CHAUHAN,Indian_National_Congress,CHAUHAN_MANSINH_KOHYABHAI,17171,Indian_National_Congress
10,Bapunagar,3067,RAJPUT_JAGRUPSINH_GIRDANSINH,Bharatiya_Janata_Party,49,PATEL_HIMMATSINH_PRAHLADSINH,Indian_National_Congress,RAJPUT_JAGRUPSINH_GIRDANSINH,2603,Bharatiya_Janata_Party
11,Bardoli,34854,TARUNKUMAR_JAGUBHAI_VAGHELA,Indian_National_Congress,169,ISHWARBHAI_(ANIL)_RAMANBHAI_PARMAR,Bharatiya_Janata_Party,PARMAR_ISHWARBHAI_ALIAS_ANILBHAI_RAMANBHAI,22272,Bharatiya_Janata_Party
12,Bayad,7901,CHAUHAN_ADESINH_MANSINH,Bharatiya_Janata_Party,32,ZALA_DHAVALSINH_NARENDRASINH,Indian_National_Congress,VAGHELA_MAHENDRASINH_SHANKERSINH,35923,Indian_National_Congress
13,Becharaji,15811,PATEL_RAJNIKANT_SOMABHAI,Bharatiya_Janata_Party,23,THAKOR_BHARATJI_SONAJI,Indian_National_Congress,PATEL_RAJANIKANT_SOMABHAI,6456,Bharatiya_Janata_Party
14,Bharuch,33099,PATEL_JAYESHBHAI_AMBALAL,Indian_National_Congress,153,PATEL_DUSHYANTBHAI_RAJNEEKANT,Bharatiya_Janata_Party,DUSHYANTBHAI_RAJNIKANT_PATEL,37190,Bharatiya_Janata_Party
15,Bhavnagar_East,22442,RATHOD_NITABEN_BABUBHAI,Indian_National_Congress,104,DAVE_VIBHAVARI,Bharatiya_Janata_Party,DAVE_VIBHAVARIBEN_VIJAYBHAI_(VIBHAVARI_DAVE),39508,Bharatiya_Janata_Party
16,Bhavnagar_Rural,30993,KANTIBHAI_TAPUBHAI_CHAUHAN,Indian_National_Congress,103,PARSOTTAMBHAI_ODHAVJIBHAI_SOLANKI,Bharatiya_Janata_Party,PARSHOTTMBHAI_ODHAVJIBHAI_SOLANKI,18554,Bharatiya_Janata_Party
17,Bhavnagar_West,27185,GOHIL_DILIPSINH_AJITSINH,Indian_National_Congress,105,JITENDRABHAI_SAVAJIBHAI_VAGHANI_(JITU_VAGHANI),Bharatiya_Janata_Party,JITENDRABHAI_SAVJIBHAI_VAGHANI_(JITU_VAGHANI),53893,Bharatiya_Janata_Party
18,Bhiloda,12417,P.C.BARANDA,Bharatiya_Janata_Party,30,DR._ANIL_JOSHIYARA,Indian_National_Congress,ANIL_JOSHIYARA,31543,Indian_National_Congress
19,Bhuj,14022,CHAKI_ADAMBHAI_BUDHABHAI,Indian_National_Congress,3,ACHARYA_DR.NIMABEN_BHAVESHBHAI,Bharatiya_Janata_Party,DR.NIMABEN_AACHARYA,8973,Bharatiya_Janata_Party
20,Borsad,11468,RAMANBHAI_BHIKHABHAI_SOLANKI,Bharatiya_Janata_Party,109,PARMAR_RAJENDRASINH_DHIRSINH,Indian_National_Congress,PARMAR_RAJENDRASINH_DHIRSINH,21034,Indian_National_Congress
21,Botad,906,KALATHIYA_DHIRAJLAL_MADHAVJIBHAI__(D.M.PATEL),Indian_National_Congress,107,SAURABH_PATEL_(DALAL),Bharatiya_Janata_Party,MANIYA_THAKARSHIBHAI_DEVJIBHAI,10005,Bharatiya_Janata_Party
